id;bible_verse;version;book;chapter;verse;testament;url
1;slimy woot;catalog;Exodus;22918;1697;NEW_TESTAMENT;https://powerful-relative.info/
2;abaft dutiful;boohoo up dash;Revelation;2164;2533;OLD_TESTAMENT;https://defensive-median.biz
3;ideal phooey;official along gee;Genesis;6299;10943;OLD_TESTAMENT;https://colossal-deed.org
4;mispronounce daily on;badly;Genesis;11792;6065;NEW_TESTAMENT;https://tinted-fuel.com/
5;descent considering;questioningly quaver considering;Exodus;6954;1789;NEW_TESTAMENT;https://impeccable-design.com
6;unusual pace;into rag gracefully;Exodus;32535;20692;OLD_TESTAMENT;https://grim-hydrant.name
7;kindly unto whoever;positively before;Genesis;6912;31353;NEW_TESTAMENT;https://huge-illusion.net/
8;thrifty treble;eventually;Revelation;2494;2544;OLD_TESTAMENT;https://hasty-merit.org
9;drat mechanically righteously;euphonium meanwhile;Genesis;16282;18134;OLD_TESTAMENT;https://heavenly-behest.com
10;rebound fraternise federate;haversack pinion foolishly;Genesis;24139;20957;OLD_TESTAMENT;https://direct-stump.name/
